date,replicate,species,speed,plot_id,lai
8/29/2019,3,es,f,1,1.204248
8/29/2019,4,es,f,2,4.650937
8/29/2019,4,es,s,4,4.380174
8/29/2019,3,es,s,3,5.046103
8/29/2019,4,es,f,5,3.170465
8/29/2019,3,es,s,1,1.475791
8/29/2019,5,es,s,2,3.057654
8/29/2019,4,es,f,4,5.4781
8/29/2019,4,es,s,2,4.306084
8/29/2019,1,es,f,2,1.835689
8/29/2019,3,es,f,3,5.239327
8/29/2019,3,es,f,4,4.134794
8/29/2019,2,es,s,4,4.211568
8/29/2019,2,es,f,1,1.5705
8/29/2019,5,es,s,1,1.464946
8/29/2019,1,es,f,5,5.607491
8/29/2019,5,es,f,5,4.902711
8/29/2019,4,es,f,1,1.217515
8/29/2019,4,es,s,1,1.187341
8/29/2019,5,es,f,4,4.750488
8/29/2019,5,es,f,2,4.482502
8/29/2019,2,es,f,3,5.202929
8/29/2019,2,es,f,5,3.428993
8/29/2019,1,es,f,1,0.951691
8/29/2019,1,es,f,3,5.516289
8/29/2019,1,es,f,4,5.204448
8/29/2019,2,es,f,2,3.531243
8/29/2019,1,es,s,3,4.52548
8/29/2019,2,es,s,1,1.254331
8/29/2019,5,es,f,3,5.808224
8/29/2019,1,es,s,5,3.203072
8/29/2019,4,es,s,3,3.738003
8/29/2019,1,es,s,2,3.520657
8/29/2019,3,es,s,4,5.19178
8/29/2019,2,es,s,2,4.301026
8/29/2019,3,es,f,5,4.766828
8/29/2019,1,es,s,4,5.177636
8/29/2019,5,es,s,4,3.871797
8/29/2019,4,es,s,5,5.488146
8/29/2019,4,es,f,3,5.447167
8/29/2019,2,es,s,5,4.894161
8/29/2019,2,es,f,4,5.898037
8/29/2019,5,es,s,5,2.708618
8/29/2019,5,es,s,3,4.770726
8/29/2019,3,es,s,5,3.934918
8/29/2019,1,es,s,1,1.587329
8/29/2019,5,es,f,1,1.750626
8/29/2019,2,es,s,3,5.198438
8/29/2019,3,es,s,2,3.284767
8/29/2019,3,es,f,2,4.550017
