file_name,date,month,day,range,line,lai,height
07_29_2020_MiniLAI\5,07_29_2020,7,29,1,0,1.0465,1.0607
07_29_2020_MiniLAI\5,07_29_2020,7,29,2,5,1.9167,1.5392
07_29_2020_MiniLAI\5,07_29_2020,7,29,3,3,3.9364,0.9516
07_29_2020_MiniLAI\5,07_29_2020,7,29,4,4,2.3981,1.1797
07_29_2020_MiniLAI\5,07_29_2020,7,29,5,1,3.6555,1.7882
07_29_2020_MiniLAI\5,07_29_2020,7,29,6,2,2.4988,1.7719
07_29_2020_MiniLAI\5,07_29_2020,7,29,7,5,3.5503,1.6064
07_29_2020_MiniLAI\5,07_29_2020,7,29,8,3,3.2651,1.0295
07_29_2020_MiniLAI\5,07_29_2020,7,29,9,4,2.4178,1.1525
07_29_2020_MiniLAI\5,07_29_2020,7,29,10,1,4.618,1.9619
07_29_2020_MiniLAI\5,07_29_2020,7,29,11,2,3.8697,1.8879
07_29_2020_MiniLAI\5,07_29_2020,7,29,12,5,2.7423,1.5997
07_29_2020_MiniLAI\5,07_29_2020,7,29,13,3,3.2125,1.0281
07_29_2020_MiniLAI\5,07_29_2020,7,29,14,4,2.9236,1.3688
07_29_2020_MiniLAI\5,07_29_2020,7,29,15,1,4.5667,1.9134
07_29_2020_MiniLAI\5,07_29_2020,7,29,16,2,3.7263,1.9013
07_29_2020_MiniLAI\5,07_29_2020,7,29,17,5,3.3367,1.587
07_29_2020_MiniLAI\5,07_29_2020,7,29,18,3,2.6586,0.954
07_29_2020_MiniLAI\5,07_29_2020,7,29,19,4,3.1843,1.1638
07_29_2020_MiniLAI\5,07_29_2020,7,29,20,1,2.8476,1.461
07_29_2020_MiniLAI\5,07_29_2020,7,29,21,2,2.3653,1.3229
07_29_2020_MiniLAI\5,07_29_2020,7,29,22,0,3.3177,1.2942
08_08_2020_MiniLAI\5,08_08_2020,8,8,1,0,1.4443,1.3204
08_08_2020_MiniLAI\5,08_08_2020,8,8,2,5,3.1227,1.8552
08_08_2020_MiniLAI\5,08_08_2020,8,8,3,3,3.2356,1.1097
08_08_2020_MiniLAI\5,08_08_2020,8,8,4,4,3.9018,1.51
08_08_2020_MiniLAI\5,08_08_2020,8,8,5,1,3.4951,2.2322
08_08_2020_MiniLAI\5,08_08_2020,8,8,6,2,3.5767,2.1862
08_08_2020_MiniLAI\5,08_08_2020,8,8,7,5,3.9284,2.1552
08_08_2020_MiniLAI\5,08_08_2020,8,8,8,3,4.7905,1.1166
08_08_2020_MiniLAI\5,08_08_2020,8,8,9,4,3.8641,1.7566
08_08_2020_MiniLAI\5,08_08_2020,8,8,10,1,5.2222,2.2631
08_08_2020_MiniLAI\5,08_08_2020,8,8,11,2,3.5013,2.4663
08_08_2020_MiniLAI\5,08_08_2020,8,8,12,5,4.0714,2.0519
08_08_2020_MiniLAI\5,08_08_2020,8,8,13,3,4.5353,1.19
08_08_2020_MiniLAI\5,08_08_2020,8,8,14,4,2.5948,2.2734
08_08_2020_MiniLAI\5,08_08_2020,8,8,15,1,5.2827,2.3275
